,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
0,ASUS,Intel,Core i3,10th,4,DDR4,0,1024,Windows,0,Casual,No warranty,No,No,34649,2.0,3,0
1,Lenovo,Intel,Core i3,10th,4,DDR4,0,1024,Windows,0,Casual,No warranty,No,No,38999,3.0,65,5
2,Lenovo,Intel,Core i3,10th,4,DDR4,0,1024,Windows,0,Casual,No warranty,No,No,39999,3.0,8,1
3,ASUS,Intel,Core i5,10th,8,DDR4,512,0,Windows,2,Casual,No warranty,No,No,69990,3.0,0,0
4,ASUS,Intel,Celeron Dual,Not Available,4,DDR4,0,512,Windows,0,Casual,No warranty,No,No,26990,3.0,0,0
5,ASUS,Intel,Celeron Dual,Not Available,4,DDR4,0,512,Windows,0,Casual,No warranty,No,No,22990,3.0,0,0
6,ASUS,Intel,Celeron Dual,Not Available,4,DDR4,0,512,Windows,0,Casual,No warranty,No,No,21990,3.0,31,3
7,ASUS,Intel,Core i5,10th,8,DDR4,0,1024,Windows,2,Casual,No warranty,No,No,58799,3.0,0,0
8,Lenovo,Intel,Core i5,10th,4,DDR4,0,1024,Windows,0,Casual,No warranty,No,No,49999,3.0,0,0
10,acer,AMD,Ryzen 5,10th,4,DDR4,0,512,Windows,6,Casual,No warranty,No,No,93700,4.0,259,47
11,acer,AMD,Ryzen 5,10th,4,DDR4,0,512,Windows,4,Casual,No warranty,No,No,72990,4.0,425,67
13,ASUS,Intel,Celeron Dual,Not Available,4,DDR4,0,512,Windows,0,Casual,No warranty,No,No,22990,3.0,0,0
14,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,Casual,No warranty,No,No,35990,3.0,0,0
15,HP,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,Casual,1 year,Yes,No,56490,3.0,0,0
16,HP,Intel,Core i5,11th,8,DDR4,256,0,Windows,0,Casual,1 year,No,No,65390,3.0,0,0
17,Lenovo,Intel,Celeron Dual,Not Available,4,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,31999,4.0,286,19
18,HP,Intel,Celeron Dual,Not Available,8,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,32490,4.0,58,6
19,Lenovo,Intel,Celeron Dual,Not Available,4,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,31799,3.0,0,0
20,ASUS,Intel,Celeron Dual,Not Available,4,DDR4,256,0,Windows,0,Casual,No warranty,No,No,29890,4.0,7,0
22,HP,Intel,Core i3,7th,4,DDR4,0,1024,Windows,0,Casual,No warranty,No,No,32955,4.0,311,27
23,HP,Intel,Core i5,7th,4,DDR4,0,1024,Windows,2,Casual,No warranty,No,No,46200,4.0,47,7
24,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,34429,4.0,37,6
26,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,Casual,1 year,No,Yes,35990,4.0,1479,181
27,ASUS,Intel,Core i3,10th,8,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,33980,4.0,67,3
28,HP,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,1 year,No,Yes,39990,4.0,273,30
29,DELL,Intel,Core i3,10th,8,DDR4,256,0,Windows,0,ThinNlight,1 year,No,Yes,39490,4.0,1267,171
30,HP,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,Casual,1 year,Yes,Yes,53990,4.0,14,0
31,acer,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,1 year,No,No,38990,3.0,0,0
32,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,1 year,No,No,37990,4.0,284,39
33,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,Casual,1 year,No,Yes,37890,4.0,44,5
34,Lenovo,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,1 year,No,No,38990,4.0,33,4
35,Lenovo,Intel,Core i3,10th,8,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,37990,4.0,286,36
36,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,1 year,No,Yes,41990,3.0,10,5
37,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,Casual,1 year,No,No,45990,4.0,816,147
38,Lenovo,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,1 year,No,No,39990,4.0,543,65
39,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,42490,4.0,9,1
40,DELL,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,ThinNlight,1 year,No,Yes,36990,4.0,1178,137
41,Lenovo,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,Casual,1 year,Yes,Yes,53990,4.0,299,41
42,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,36990,4.0,20,1
43,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,Casual,2 years,No,No,38940,4.0,758,64
44,DELL,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,Casual,1 year,No,Yes,39490,4.0,634,64
45,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,Casual,1 year,No,No,45990,4.0,816,147
46,Lenovo,Intel,Core i3,10th,8,DDR4,256,0,Windows,0,Casual,2 years,No,Yes,39999,5.0,4,0
47,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,1 year,No,No,42990,4.0,17,2
48,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,Casual,1 year,Yes,No,49990,4.0,24,5
49,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,1 year,No,Yes,41490,4.0,1753,165
50,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,41990,4.0,216,21
51,Lenovo,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,ThinNlight,1 year,No,Yes,41990,4.0,1084,160
52,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,Casual,1 year,No,No,38490,3.0,19,3
53,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,ThinNlight,1 year,No,Yes,38990,4.0,106,13
54,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,Casual,1 year,No,Yes,44990,4.0,42,4
55,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,36490,3.0,0,0
56,Lenovo,Intel,Core i3,10th,8,DDR4,256,0,Windows,0,Casual,No warranty,No,No,38970,3.0,0,0
57,HP,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,ThinNlight,1 year,No,Yes,44900,4.0,1029,107
58,MSI,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,38990,4.0,53,11
59,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,44427,3.0,0,0
60,ASUS,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,Casual,1 year,No,No,35990,3.0,0,0
61,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,Casual,1 year,No,Yes,40200,3.0,48,1
62,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,Casual,No warranty,No,No,40990,3.0,3,0
63,DELL,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,ThinNlight,1 year,No,No,42490,3.0,0,0
64,acer,Intel,Celeron Dual,Not Available,4,DDR4,0,512,Windows,0,Casual,No warranty,No,No,23990,3.0,61,4
65,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,Casual,No warranty,Yes,No,71999,4.0,97,13
66,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,Casual,1 year,No,No,39990,4.0,181,19
67,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,Casual,1 year,No,Yes,41998,4.0,529,39
68,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,Casual,No warranty,No,No,41990,3.0,0,0
69,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,Casual,2 years,No,Yes,39999,3.0,0,0
70,ASUS,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,Casual,No warranty,No,No,39990,3.0,0,0
71,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,Casual,No warranty,No,No,39998,4.0,10,1
73,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,Casual,No warranty,No,No,41990,3.0,3,0
74,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,Casual,No warranty,No,No,48490,3.0,0,0
75,HP,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,ThinNlight,1 year,No,Yes,44376,4.0,1090,96
76,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,Casual,No warranty,No,No,43900,3.0,0,0
77,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,Casual,1 year,No,No,46690,3.0,0,0
78,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,Casual,No warranty,No,No,40990,5.0,1,1
79,DELL,Intel,Core i3,10th,4,DDR4,256,0,Windows,0,ThinNlight,1 year,No,No,39990,4.0,44,2
80,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,ThinNlight,No warranty,No,No,43990,3.0,0,0
81,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,0,ThinNlight,1 year,No,No,36990,4.0,70,9
82,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,Casual,1 year,No,No,48500,3.0,0,0
83,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,0,Casual,No warranty,No,No,48990,3.0,0,0
84,ASUS,Intel,Celeron Dual,Not Available,4,LPDDR4,0,512,Windows,0,Casual,No warranty,No,No,23490,4.0,632,92
85,HP,Intel,Core i3,8th,4,DDR4,256,0,Windows,0,Casual,1 year,Yes,Yes,54238,4.0,71,8
86,ASUS,Intel,Core i3,10th,8,DDR4,512,0,Windows,0,Casual,1 year,No,No,37990,4.0,990,108
87,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,ThinNlight,1 year,No,Yes,42990,4.0,158,18
88,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,ThinNlight,1 year,No,Yes,42990,4.0,681,59
89,ASUS,Intel,Core i3,10th,4,DDR4,512,0,Windows,0,Casual,1 year,No,No,35990,4.0,130,12
90,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,Casual,1 year,No,No,42990,4.0,30,4
91,ASUS,Intel,Core i3,11th,8,LPDDR4X,512,0,Windows,0,Casual,1 year,Yes,Yes,51990,4.0,6,2
92,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,Casual,1 year,No,No,48990,4.0,174,30
93,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,Casual,1 year,No,No,42990,4.0,40,7
94,Lenovo,Intel,Core i3,10th,8,DDR4,512,0,Windows,0,ThinNlight,1 year,No,No,38990,3.0,13,1
95,DELL,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,ThinNlight,No warranty,No,No,45990,4.0,184,29
96,HP,Intel,Core i3,10th,8,DDR4,512,0,Windows,0,ThinNlight,1 year,No,Yes,42490,4.0,1296,126
97,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,ThinNlight,1 year,No,Yes,43970,4.0,571,56
99,MSI,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,ThinNlight,No warranty,No,No,48990,4.0,17,3
100,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,Casual,1 year,No,Yes,54990,4.0,35,3
101,MSI,Intel,Core i3,10th,8,DDR4,512,0,Windows,0,ThinNlight,No warranty,No,No,40990,4.0,118,17
102,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,ThinNlight,1 year,No,Yes,41990,3.0,0,0
103,Lenovo,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,ThinNlight,1 year,Yes,No,54990,4.0,245,34
105,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,Casual,1 year,No,No,41250,4.0,117,11
106,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,ThinNlight,No warranty,No,No,44990,3.0,0,0
107,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,Casual,1 year,No,No,42990,4.0,74,11
108,DELL,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,Casual,1 year,Yes,No,60790,4.0,10,1
109,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,Casual,No warranty,No,No,45650,4.0,39,4
110,DELL,Intel,Core i3,10th,8,DDR4,512,0,Windows,0,ThinNlight,1 year,No,Yes,41990,3.0,29,7
111,DELL,Intel,Core i3,10th,8,DDR4,512,0,Windows,0,ThinNlight,1 year,No,No,45490,4.0,43,4
112,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,ThinNlight,1 year,No,Yes,44990,3.0,0,0
113,Lenovo,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,ThinNlight,2 years,No,Yes,42990,4.0,984,99
114,HP,Intel,Core i3,11th,4,DDR4,512,0,Windows,0,ThinNlight,1 year,No,Yes,45490,4.0,523,66
115,HP,Intel,Core i3,10th,4,DDR4,512,0,Windows,0,Casual,No warranty,No,No,38799,4.0,30,1
116,HP,Intel,Core i3,11th,4,DDR4,512,0,Windows,0,Casual,1 year,Yes,Yes,69267,3.0,0,0
117,ASUS,Intel,Core i3,11th,4,DDR4,512,0,Windows,0,Casual,1 year,No,Yes,51649,3.0,0,0
121,ASUS,Intel,Core i3,11th,4,DDR4,512,0,Windows,0,Casual,1 year,No,No,44890,3.0,7,0
123,HP,Intel,Core i3,11th,4,DDR4,512,0,Windows,0,ThinNlight,1 year,No,No,50990,3.0,0,0
124,HP,Intel,Core i3,11th,4,DDR4,512,0,Windows,0,ThinNlight,1 year,No,Yes,48900,4.0,1278,135
126,DELL,Intel,Core i3,10th,4,DDR4,512,0,Windows,0,Casual,No warranty,No,No,41790,3.0,0,0
127,Lenovo,Intel,Core i3,11th,4,DDR4,512,0,Windows,0,Casual,1 year,Yes,Yes,57999,3.0,10,2
128,DELL,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,ThinNlight,No warranty,No,No,45930,3.0,0,0
129,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,0,Casual,1 year,Yes,Yes,55490,4.0,143,15
130,ASUS,Intel,Core i3,10th,8,DDR4,0,1024,Windows,0,Casual,1 year,No,No,32890,3.0,28,4
132,DELL,Intel,Core i3,11th,8,DDR4,0,1024,Windows,0,ThinNlight,No warranty,No,No,42490,4.0,276,40
133,DELL,Intel,Core i3,11th,8,DDR4,0,1024,Windows,0,ThinNlight,No warranty,No,No,42190,3.0,250,21
134,DELL,Intel,Core i3,10th,8,DDR4,0,1024,Windows,0,ThinNlight,1 year,No,Yes,39490,4.0,1917,189
136,ASUS,Intel,Core i3,10th,4,DDR4,0,1024,Windows,0,Casual,1 year,No,No,35990,3.0,17,0
137,DELL,Intel,Core i3,11th,8,DDR4,0,1024,Windows,0,Casual,No warranty,No,No,43800,4.0,17,0
138,Lenovo,Intel,Core i3,10th,8,DDR4,0,1024,Windows,0,Casual,No warranty,No,No,38990,3.0,0,0
140,ASUS,Intel,Core i3,11th,8,DDR4,0,1024,Windows,0,Casual,1 year,No,No,38900,3.0,13,0
141,DELL,Intel,Core i3,10th,4,DDR4,0,1024,Windows,0,ThinNlight,1 year,No,No,39990,3.0,15,1
142,DELL,Intel,Core i3,10th,4,DDR4,0,1024,Windows,0,Casual,No warranty,No,No,40890,4.0,527,46
143,Lenovo,Intel,Core i3,10th,4,DDR4,0,1024,Windows,0,ThinNlight,1 year,No,No,36990,3.0,103,10
144,HP,Intel,Core i3,11th,4,DDR4,0,1024,Windows,0,ThinNlight,1 year,No,Yes,39990,3.0,324,45
